epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,408.437,2.8782,10.4735,1.16756,0.40429,0.3506,0.26982,0.08577,2.63819,1.50912,1.00755,0.00333067,0.00333067,0.00333067
2,838.321,2.69684,1.58863,1.05084,0.44464,0.3543,0.27355,0.0877,2.69432,1.47737,1.02254,0.00662002,0.00662002,0.00662002
3,1360.56,2.75593,1.59611,1.0734,0.37735,0.338,0.23618,0.07104,2.81593,1.58475,1.04768,0.00986537,0.00986537,0.00986537
4,1845.26,2.7636,1.58784,1.0916,0.44302,0.3696,0.30731,0.09807,2.65945,1.4361,1.03167,0.009802,0.009802,0.009802
5,2226.73,2.59897,1.48927,1.04672,0.46964,0.3855,0.32358,0.10624,2.56171,1.44907,1.02172,0.009736,0.009736,0.009736
6,2654.04,2.52601,1.42742,1.0319,0.47455,0.41035,0.34908,0.12279,2.47046,1.36449,1.00177,0.00967,0.00967,0.00967
7,3045.2,2.41289,1.37284,1.01534,0.50545,0.44175,0.39261,0.14302,2.37502,1.29788,0.98375,0.009604,0.009604,0.009604
8,3431.23,2.36869,1.34297,1.00546,0.53689,0.4266,0.40857,0.14753,2.3283,1.27519,0.97474,0.009538,0.009538,0.009538
9,3818.18,2.3199,1.31005,0.99945,0.53797,0.4481,0.41336,0.15501,2.29321,1.24273,0.97361,0.009472,0.009472,0.009472
10,4255.78,2.30088,1.29175,0.99035,0.554,0.453,0.4312,0.16631,2.25041,1.2257,0.96518,0.009406,0.009406,0.009406
11,4663.76,2.25005,1.2638,0.98426,0.56766,0.4694,0.44989,0.17362,2.18632,1.18791,0.95547,0.00934,0.00934,0.00934
12,5136.61,2.23441,1.26233,0.9768,0.56533,0.46735,0.45901,0.18036,2.16494,1.1647,0.94688,0.009274,0.009274,0.009274
13,5493.01,2.20219,1.23669,0.97165,0.58985,0.4776,0.47015,0.18886,2.13019,1.16119,0.94598,0.009208,0.009208,0.009208
14,5854.09,2.19053,1.2222,0.97384,0.59075,0.49202,0.48602,0.19731,2.0959,1.13844,0.94384,0.009142,0.009142,0.009142
15,6311.95,2.17516,1.22037,0.96776,0.60567,0.48565,0.48777,0.19616,2.07399,1.13292,0.94085,0.009076,0.009076,0.009076
16,6727.33,2.16499,1.19646,0.95469,0.60353,0.49732,0.49926,0.20613,2.04763,1.10892,0.93243,0.00901,0.00901,0.00901
17,7158.16,2.13392,1.18808,0.96174,0.6157,0.49417,0.50076,0.20818,2.03921,1.09522,0.9317,0.008944,0.008944,0.008944
18,7523.05,2.13006,1.18965,0.95932,0.61756,0.50955,0.5141,0.21281,2.02021,1.0842,0.92995,0.008878,0.008878,0.008878
19,7932.83,2.11461,1.17481,0.95062,0.62264,0.51305,0.51638,0.21486,1.98554,1.07701,0.92769,0.008812,0.008812,0.008812
20,8305.64,2.11098,1.1737,0.9551,0.62663,0.5135,0.51884,0.22299,1.98474,1.06294,0.92526,0.008746,0.008746,0.008746
21,8676.02,2.07732,1.14509,0.94397,0.62705,0.51994,0.52675,0.22194,1.97724,1.06086,0.92162,0.00868,0.00868,0.00868
22,9038.41,2.05996,1.15293,0.94993,0.64206,0.52558,0.537,0.22834,1.94965,1.03704,0.91932,0.008614,0.008614,0.008614
23,9415.82,2.06376,1.14538,0.9501,0.63938,0.52775,0.53957,0.231,1.92712,1.03086,0.91768,0.008548,0.008548,0.008548
24,9783.13,2.05595,1.13675,0.94353,0.63775,0.5312,0.54162,0.23779,1.91187,1.0237,0.91546,0.008482,0.008482,0.008482
25,10157,2.03586,1.12936,0.94519,0.64974,0.53674,0.54954,0.2389,1.91306,1.02698,0.91529,0.008416,0.008416,0.008416
26,10528.3,2.02911,1.12435,0.94041,0.64773,0.53773,0.54785,0.24047,1.8922,1.01342,0.91091,0.00835,0.00835,0.00835
27,10910.9,2.0139,1.11056,0.93629,0.64979,0.5392,0.55355,0.2452,1.8753,1.00274,0.90906,0.008284,0.008284,0.008284
28,11284.5,2.02444,1.11704,0.93879,0.64959,0.53898,0.55239,0.24573,1.88404,1.00277,0.9118,0.008218,0.008218,0.008218
29,11655.9,2.00135,1.0994,0.93509,0.65042,0.54185,0.55606,0.24849,1.87258,0.99591,0.9109,0.008152,0.008152,0.008152
30,12032.8,2.00494,1.08485,0.93188,0.65192,0.5433,0.56107,0.25205,1.84877,0.98324,0.90579,0.008086,0.008086,0.008086
31,12403.7,1.97945,1.08836,0.92766,0.65984,0.5494,0.56699,0.2563,1.84589,0.98026,0.90576,0.00802,0.00802,0.00802
32,12780.1,1.9798,1.07841,0.92346,0.65909,0.5507,0.57002,0.25793,1.83819,0.97657,0.90477,0.007954,0.007954,0.007954
33,13154,1.96769,1.08216,0.92784,0.65835,0.54875,0.56829,0.25761,1.83527,0.97487,0.90457,0.007888,0.007888,0.007888
34,13527.3,1.9608,1.07323,0.9251,0.65908,0.54815,0.56769,0.25803,1.8267,0.97281,0.90379,0.007822,0.007822,0.007822
35,13902,1.94676,1.06173,0.91903,0.66583,0.5502,0.57075,0.26148,1.824,0.96669,0.90227,0.007756,0.007756,0.007756
36,14272.7,1.94526,1.0575,0.92004,0.6643,0.5525,0.57172,0.26324,1.81108,0.96295,0.9019,0.00769,0.00769,0.00769
37,14649.1,1.95315,1.06104,0.92679,0.66798,0.55056,0.57201,0.26397,1.80804,0.96013,0.90094,0.007624,0.007624,0.007624
38,15038.4,1.93899,1.05719,0.92375,0.6694,0.55335,0.57503,0.26471,1.80364,0.95556,0.89962,0.007558,0.007558,0.007558
39,15422.4,1.92929,1.05219,0.92419,0.66732,0.5517,0.5751,0.2671,1.7952,0.95163,0.89806,0.007492,0.007492,0.007492
40,15811.5,1.91821,1.05169,0.91908,0.6719,0.5552,0.57877,0.26822,1.7928,0.9501,0.89756,0.007426,0.007426,0.007426
41,16195.6,1.93781,1.0501,0.91581,0.66922,0.55556,0.5777,0.26986,1.78954,0.94769,0.89734,0.00736,0.00736,0.00736
42,16582.9,1.91299,1.03517,0.91889,0.67213,0.55728,0.58061,0.27196,1.78519,0.94555,0.89677,0.007294,0.007294,0.007294
43,16960.4,1.92759,1.03948,0.91486,0.67241,0.55755,0.58198,0.27262,1.78167,0.94328,0.8964,0.007228,0.007228,0.007228
44,17339.7,1.8959,1.02962,0.90977,0.67444,0.55795,0.58294,0.27367,1.78005,0.94014,0.89586,0.007162,0.007162,0.007162
45,17712.6,1.88913,1.02373,0.91579,0.67499,0.55857,0.58393,0.27424,1.7791,0.93999,0.89616,0.007096,0.007096,0.007096
46,18083.8,1.89422,1.03737,0.91132,0.67404,0.55825,0.58394,0.27431,1.77701,0.93835,0.89599,0.00703,0.00703,0.00703
47,18461.2,1.88158,1.0216,0.91032,0.67652,0.55885,0.58484,0.27476,1.77543,0.93611,0.89556,0.006964,0.006964,0.006964
48,18836.6,1.89226,1.01231,0.91059,0.67789,0.56097,0.58699,0.27641,1.77268,0.93383,0.89495,0.006898,0.006898,0.006898
49,19222.3,1.87698,1.01875,0.91238,0.67655,0.5625,0.58791,0.27713,1.76778,0.93137,0.89404,0.006832,0.006832,0.006832
50,19600.1,1.85464,1.00744,0.90743,0.678,0.56405,0.58961,0.27805,1.76347,0.92968,0.89341,0.006766,0.006766,0.006766
51,19973,1.85769,0.99799,0.91101,0.67962,0.564,0.59105,0.27896,1.76066,0.92752,0.89313,0.0067,0.0067,0.0067
52,20356.6,1.84637,1.00323,0.90593,0.68109,0.56468,0.59234,0.27974,1.7578,0.92601,0.89271,0.006634,0.006634,0.006634
53,20735.3,1.86087,1.00374,0.90524,0.68135,0.56503,0.59276,0.28042,1.75529,0.92408,0.89207,0.006568,0.006568,0.006568
54,21112.5,1.84741,0.98882,0.90736,0.68018,0.56593,0.59318,0.28101,1.75315,0.92231,0.89171,0.006502,0.006502,0.006502
55,21495.6,1.85416,0.99188,0.90457,0.68064,0.56618,0.59394,0.28156,1.7503,0.92098,0.89142,0.006436,0.006436,0.006436
56,21873,1.86345,0.99108,0.90963,0.68254,0.5667,0.59491,0.28215,1.74879,0.91878,0.89118,0.00637,0.00637,0.00637
57,22254.9,1.81889,0.98614,0.906,0.6828,0.56685,0.59496,0.28266,1.74639,0.91696,0.89072,0.006304,0.006304,0.006304
58,22632.8,1.81852,0.98022,0.90224,0.6841,0.56535,0.59516,0.28288,1.74503,0.91632,0.89043,0.006238,0.006238,0.006238
59,23018.1,1.82407,0.98263,0.90515,0.68505,0.5658,0.5962,0.28352,1.74284,0.91519,0.89007,0.006172,0.006172,0.006172
60,23401.1,1.83287,0.98527,0.90367,0.68386,0.5669,0.59695,0.28393,1.74142,0.91349,0.88976,0.006106,0.006106,0.006106
61,23800.8,1.80954,0.9752,0.90228,0.68526,0.5671,0.59766,0.28441,1.74028,0.9127,0.88945,0.00604,0.00604,0.00604
62,24184.6,1.81758,0.97222,0.90474,0.68371,0.56798,0.59805,0.28496,1.73916,0.91163,0.88927,0.005974,0.005974,0.005974
63,24566.1,1.81329,0.97603,0.89995,0.68269,0.56853,0.5985,0.28556,1.73729,0.91046,0.88888,0.005908,0.005908,0.005908
64,24951.3,1.79513,0.96454,0.89796,0.68236,0.5699,0.59916,0.28636,1.73544,0.9093,0.88862,0.005842,0.005842,0.005842
65,25341.2,1.82602,0.96689,0.90044,0.68298,0.5698,0.59953,0.28679,1.73395,0.90892,0.88843,0.005776,0.005776,0.005776
66,25729.6,1.78997,0.96537,0.89586,0.68301,0.56945,0.59955,0.28733,1.73253,0.90779,0.88835,0.00571,0.00571,0.00571
67,26115.6,1.79302,0.96256,0.89612,0.68118,0.57145,0.5996,0.28788,1.73137,0.90646,0.88828,0.005644,0.005644,0.005644
68,26501.2,1.79603,0.96664,0.89651,0.68395,0.5703,0.60018,0.28852,1.7301,0.90536,0.88802,0.005578,0.005578,0.005578
69,26884.9,1.79419,0.95451,0.89254,0.68452,0.57085,0.60066,0.28903,1.72844,0.90484,0.88782,0.005512,0.005512,0.005512
70,27263.6,1.80411,0.96467,0.89764,0.68507,0.57114,0.60099,0.28942,1.72686,0.90372,0.8876,0.005446,0.005446,0.005446
71,27646.9,1.7731,0.94727,0.89546,0.68359,0.57255,0.60181,0.28993,1.72525,0.90264,0.88727,0.00538,0.00538,0.00538
72,28033.7,1.78132,0.94575,0.89269,0.68533,0.57135,0.60234,0.29063,1.72246,0.90184,0.88698,0.005314,0.005314,0.005314
73,28424.2,1.77465,0.94219,0.89513,0.6855,0.5717,0.60285,0.29114,1.72051,0.90064,0.88676,0.005248,0.005248,0.005248
74,28810,1.7559,0.93249,0.89528,0.68508,0.5719,0.60335,0.29165,1.71863,0.89945,0.88638,0.005182,0.005182,0.005182
75,29193.8,1.76266,0.93303,0.89028,0.68594,0.57179,0.60395,0.29207,1.71767,0.89854,0.88621,0.005116,0.005116,0.005116
76,29577.8,1.74366,0.93546,0.89096,0.68704,0.57264,0.60529,0.29257,1.71629,0.89729,0.88606,0.00505,0.00505,0.00505
77,29969,1.76077,0.94169,0.89333,0.6872,0.57384,0.60622,0.29306,1.715,0.89614,0.88595,0.004984,0.004984,0.004984
78,30355.9,1.75741,0.93449,0.89509,0.68603,0.57476,0.60606,0.2935,1.71356,0.895,0.88568,0.004918,0.004918,0.004918
79,30762.9,1.75097,0.92891,0.8899,0.68866,0.57444,0.60688,0.2939,1.71168,0.89405,0.88539,0.004852,0.004852,0.004852
80,31123.8,1.74875,0.93003,0.89104,0.68952,0.57605,0.60814,0.29432,1.70985,0.89254,0.88525,0.004786,0.004786,0.004786
81,31500.8,1.73959,0.91798,0.88741,0.68993,0.5766,0.60857,0.29478,1.70779,0.89194,0.8849,0.00472,0.00472,0.00472
82,31869.6,1.73618,0.91993,0.8887,0.69142,0.57615,0.60926,0.29525,1.70604,0.89079,0.88466,0.004654,0.004654,0.004654
83,32300.2,1.72253,0.91089,0.8859,0.69242,0.57625,0.60973,0.2957,1.70403,0.88962,0.88445,0.004588,0.004588,0.004588
84,32678.5,1.73701,0.92573,0.88791,0.69353,0.57495,0.60956,0.29599,1.70282,0.88889,0.88422,0.004522,0.004522,0.004522
85,33045,1.73271,0.91519,0.88584,0.69502,0.57535,0.61082,0.29667,1.70143,0.88761,0.88405,0.004456,0.004456,0.004456
86,33438.4,1.72754,0.91164,0.88545,0.69551,0.57475,0.6108,0.29746,1.69959,0.88638,0.8839,0.00439,0.00439,0.00439
87,33912.1,1.71347,0.91162,0.8887,0.69653,0.57535,0.61189,0.29809,1.69738,0.88517,0.88368,0.004324,0.004324,0.004324
88,34266.3,1.71295,0.90533,0.88426,0.69374,0.57728,0.61276,0.29877,1.69562,0.8838,0.88329,0.004258,0.004258,0.004258
89,34631.8,1.71459,0.90745,0.88752,0.69629,0.57605,0.61318,0.29929,1.69374,0.8824,0.88304,0.004192,0.004192,0.004192
90,34996.6,1.7032,0.89898,0.88081,0.69785,0.57605,0.6137,0.29975,1.69166,0.88086,0.88288,0.004126,0.004126,0.004126
91,35357,1.69975,0.89589,0.88214,0.69795,0.5769,0.61438,0.30032,1.69027,0.88,0.88255,0.00406,0.00406,0.00406
92,35731.4,1.69726,0.89964,0.8821,0.69998,0.5768,0.615,0.30077,1.68811,0.87841,0.88226,0.003994,0.003994,0.003994
93,36104.1,1.6912,0.88886,0.88116,0.7007,0.5769,0.61548,0.30135,1.68673,0.87711,0.88197,0.003928,0.003928,0.003928
94,36471.1,1.69648,0.88645,0.87736,0.70113,0.5769,0.61602,0.30196,1.68562,0.87571,0.88177,0.003862,0.003862,0.003862
95,36838.6,1.66851,0.88572,0.88057,0.70244,0.5764,0.61715,0.30249,1.68291,0.87424,0.88146,0.003796,0.003796,0.003796
96,37205,1.67817,0.88345,0.87691,0.70377,0.57545,0.61742,0.30288,1.68161,0.8729,0.88119,0.00373,0.00373,0.00373
97,37577.2,1.69839,0.89873,0.87939,0.70329,0.5758,0.61762,0.30334,1.67989,0.87202,0.88089,0.003664,0.003664,0.003664
98,37948.2,1.67712,0.87974,0.88187,0.70479,0.57565,0.61849,0.30393,1.67799,0.87096,0.88058,0.003598,0.003598,0.003598
99,38317.8,1.66539,0.86905,0.8744,0.70446,0.5752,0.61847,0.30463,1.67633,0.86934,0.88038,0.003532,0.003532,0.003532
100,38689.9,1.66756,0.87321,0.87591,0.70566,0.5752,0.6189,0.30539,1.67479,0.86814,0.88015,0.003466,0.003466,0.003466
101,39065.8,1.6615,0.87174,0.8819,0.70658,0.5757,0.61968,0.30606,1.67243,0.86665,0.87994,0.0034,0.0034,0.0034
102,39429.1,1.65219,0.86836,0.87597,0.70768,0.57558,0.62005,0.30659,1.67133,0.86468,0.87975,0.003334,0.003334,0.003334
103,39811.7,1.66008,0.87302,0.87827,0.70958,0.57545,0.62093,0.30734,1.66919,0.86319,0.87951,0.003268,0.003268,0.003268
104,40184.3,1.66253,0.86088,0.87694,0.70827,0.5757,0.62121,0.30784,1.66786,0.8619,0.8793,0.003202,0.003202,0.003202
105,40553.1,1.64533,0.8572,0.87397,0.70823,0.5769,0.62226,0.3083,1.66546,0.8598,0.87901,0.003136,0.003136,0.003136
106,40925.4,1.63869,0.85987,0.87316,0.70834,0.5777,0.62284,0.30873,1.66402,0.85842,0.87871,0.00307,0.00307,0.00307
107,41296.4,1.63378,0.85146,0.87631,0.70927,0.578,0.6236,0.3095,1.66207,0.85709,0.87847,0.003004,0.003004,0.003004
108,41674,1.63563,0.85161,0.87335,0.70899,0.57911,0.62416,0.31004,1.66015,0.85569,0.87813,0.002938,0.002938,0.002938
109,42050.3,1.62664,0.85603,0.87357,0.71168,0.5785,0.62513,0.31085,1.65813,0.85374,0.87785,0.002872,0.002872,0.002872
110,42424.7,1.60231,0.83721,0.86934,0.71279,0.57855,0.62559,0.31152,1.65632,0.85206,0.87764,0.002806,0.002806,0.002806
111,42804.5,1.62231,0.8469,0.87227,0.7146,0.57895,0.62711,0.31233,1.65429,0.85049,0.87733,0.00274,0.00274,0.00274
112,43197.6,1.61633,0.84149,0.87087,0.71607,0.57767,0.62781,0.31282,1.65269,0.84863,0.87703,0.002674,0.002674,0.002674
113,43586.8,1.60419,0.83783,0.87105,0.71639,0.57785,0.6283,0.3134,1.6508,0.84693,0.87676,0.002608,0.002608,0.002608
114,43966.5,1.60061,0.83439,0.86766,0.71728,0.57735,0.62893,0.31396,1.64915,0.84518,0.8764,0.002542,0.002542,0.002542
115,44364.8,1.61108,0.84238,0.8693,0.71944,0.57723,0.63017,0.31455,1.64701,0.84327,0.87607,0.002476,0.002476,0.002476
116,44736.8,1.59679,0.82676,0.86886,0.71933,0.5776,0.63065,0.31531,1.64478,0.84173,0.8757,0.00241,0.00241,0.00241
117,45108,1.6099,0.82884,0.87194,0.72134,0.5772,0.63157,0.31607,1.64313,0.83999,0.87532,0.002344,0.002344,0.002344
